id,user_id,media_id,created_at
606a274d-8e74-408c-8dfd-cdce6ab46266,3cd8f3cf-7097-4ac9-bf44-87f834210d59,f8005ad1-a80c-4e95-987d-52c086c0f992,2023-05-22 11:25:59.143292 +00:00
96ef2e8a-4d59-4aba-8a62-38ad2f93b638,3cd8f3cf-7097-4ac9-bf44-87f834210d59,3c2be333-82c4-430c-9c90-ec4017fded58,2023-05-22 11:27:08.823167 +00:00
f761c5a3-aa73-4ff0-a2fc-3bf45dd22be2,3cd8f3cf-7097-4ac9-bf44-87f834210d59,117a3591-6d8d-4f95-be65-7870bd45471d,2023-05-22 11:27:25.528790 +00:00
ba542399-94a2-49e9-801c-bf8609d3f730,3cd8f3cf-7097-4ac9-bf44-87f834210d59,5d3b8a57-7826-4ccf-ba4f-c6af78ce25c2,2023-05-22 11:29:49.510327 +00:00
876f1d6f-f424-4af2-8ad1-c3cd205137a2,3cd8f3cf-7097-4ac9-bf44-87f834210d59,7aa9b1f2-765e-47b5-921c-d27a8c292683,2023-05-22 11:30:58.492994 +00:00
18c7e427-67c4-4b89-a7b8-2cc78e7b6244,f5319987-66cb-40a1-b12c-0a3360db7819,e0684dca-e2b7-4a4c-9f23-a79967d586e7,2023-05-22 11:49:42.884892 +00:00
ddf230b8-d76f-4ec4-a320-2541aedf0db1,3cd8f3cf-7097-4ac9-bf44-87f834210d59,c8e7396c-e9d4-42e3-b2c7-348d708660e1,2023-05-22 12:19:30.709670 +00:00
46409432-55d1-47b9-baae-8206acab0773,3cd8f3cf-7097-4ac9-bf44-87f834210d59,b6a378ee-0c6c-4f3e-bcd8-1168f5b1fe1a,2023-05-22 12:19:53.150552 +00:00
b28b83cf-9253-425e-a29c-7931ac80cc19,3cd8f3cf-7097-4ac9-bf44-87f834210d59,5727831c-970a-47ba-aaee-20b9d1f0b7f1,2023-05-22 12:24:28.402018 +00:00
b3baddb8-16c8-4513-b9aa-686a9024ed36,3cd8f3cf-7097-4ac9-bf44-87f834210d59,a0cdd93f-b002-4cf6-8732-878640c4559c,2023-05-22 12:24:39.148123 +00:00
11523af7-ea6b-47eb-9507-458d6d431cdf,f5319987-66cb-40a1-b12c-0a3360db7819,c2e8fd02-74a0-42fc-bbce-f63eb27b2de7,2023-05-28 22:52:51.692235 +00:00
